Karakter,Kümelenme Katsayısı
Adrian Pucey,0
Alicia Spinnet,0.9107142857142857
Angelina Johnson,0.9107142857142857
Anthony Goldstein,0.94
Blaise Zabini,0
C. Warrington,0
Cedric Diggory,1.0
Cho Chang,1.0
Colin Creevey,0.5
Cormac McLaggen,0
Dean Thomas,0.6944444444444444
Demelza Robins,0.3333333333333333
Dennis Creevey,0.5
Draco Malfoy,0.38461538461538464
Eddie Carmichael,0
Eleanor Branstone,0
Ernie Macmillan,0.8666666666666667
Euan Abercrombie,0
Fred Weasley,0.7111111111111111
George Weasley,0.7111111111111111
Ginny Weasley,0.6283185840707964
Graham Pritchard,0
Gregory Goyle,0.875
Hannah Abbott,0.94
Harry James Potter,0.2158273381294964
Hermione Granger,0.5015923566878981
Jimmy Peakes,0
Justin Finch-Fletchley,0.8666666666666667
Katie Bell,0.8383838383838383
Kevin Whitby,0
Lavender Brown,0.7777777777777778
Leanne,0.8333333333333334
Lee Jordan,1.0
Lucian Bole,0
Luna Lovegood,1.0
Malcolm Baddock,0
Mandy Brocklehurst,0
Marcus Belby,0
Marcus Flint,0
Michael Corner,0
Miles Bletchley,0
Millicent Bulstrode,0
Natalie McDonald,0
Neville Longbottom,0.7346938775510204
Oliver Wood,0.9726027397260274
Orla Quirke,0
Owen Cauldwell,0
Padma Patil,0
Pansy Parkinson,0.6666666666666666
Parvati Patil,0.7692307692307693
Penelope Clearwater,0
Percy Weasley,1.0
Peregrine Derrick,0
Roger Davies,0
Romilda Vane,0
Ronald Weasley,0.4276649746192893
Rose Zeller,0
Seamus Finnigan,0.6944444444444444
Stewart Ackerley,0
Susan Bones,0.94
Terry Boot,0.7868852459016393
Theodore Nott,0
Vincent Crabbe,0.875
Zacharias Smith,0
