Node,Degree Centrality
Adrian Pucey,0.0
Alicia Spinnet,0.2857142857142857
Angelina Johnson,0.2857142857142857
Anthony Goldstein,0.20634920634920634
Blaise Zabini,0.0
C. Warrington,0.0
Cedric Diggory,0.07936507936507936
Cho Chang,0.07936507936507936
Colin Creevey,0.07936507936507936
Cormac McLaggen,0.0
Dean Thomas,0.23809523809523808
Demelza Robins,0.07936507936507936
Dennis Creevey,0.07936507936507936
Draco Malfoy,0.12698412698412698
Eddie Carmichael,0.0
Eleanor Branstone,0.0
Ernie Macmillan,0.2222222222222222
Euan Abercrombie,0.0
Fred Weasley,0.3492063492063492
George Weasley,0.3492063492063492
Ginny Weasley,0.2857142857142857
Graham Pritchard,0.0
Gregory Goyle,0.1111111111111111
Hannah Abbott,0.20634920634920634
Harry James Potter,0.746031746031746
Hermione Granger,0.4444444444444444
Jimmy Peakes,0.047619047619047616
Justin Finch-Fletchley,0.2222222222222222
Katie Bell,0.2698412698412698
Kevin Whitby,0.0
Lavender Brown,0.1111111111111111
Leanne,0.09523809523809523
Lee Jordan,0.14285714285714285
Lucian Bole,0.0
Luna Lovegood,0.19047619047619047
Malcolm Baddock,0.0
Mandy Brocklehurst,0.0
Marcus Belby,0.031746031746031744
Marcus Flint,0.06349206349206349
Michael Corner,0.0
Miles Bletchley,0.0
Millicent Bulstrode,0.0
Natalie McDonald,0.0
Neville Longbottom,0.2698412698412698
Oliver Wood,0.23809523809523808
Orla Quirke,0.0
Owen Cauldwell,0.0
Padma Patil,0.015873015873015872
Pansy Parkinson,0.12698412698412698
Parvati Patil,0.12698412698412698
Penelope Clearwater,0.0
Percy Weasley,0.07936507936507936
Peregrine Derrick,0.0
Roger Davies,0.031746031746031744
Romilda Vane,0.0
Ronald Weasley,0.49206349206349204
Rose Zeller,0.0
Seamus Finnigan,0.23809523809523808
Stewart Ackerley,0.0
Susan Bones,0.20634920634920634
Terry Boot,0.2222222222222222
Theodore Nott,0.0
Vincent Crabbe,0.1111111111111111
Zacharias Smith,0.0
